country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,3870,3650,3330,3140,3120,3770,4170,5950,4650,4730,4220,3710,3530,4800,4410,5680,4090,3410,3850,4220,4040,4240,4370,4950,4980,5340,5140,4750,5420,6220,6310,6690,7220,7980,8030,8140,9020,9020,9430,9630,9790,10900,10600,10300,11900,11300,11500,11600,11600,12500,13100,12900,13300,14600,14300,14300,15300,16200,16600,18100,18600,18900,19900,20900,22100,24900,27600,25800,24600,22400,8660,14500,22000,22200,23300,27300,27200,30600,33600,34400,38000,38000,41300,40800,45000,41500,38600,38700,37300,39900,44000,43300,40700,33500,37200,34600,35000,23400,14700,31100,44600,47300,50500,51300,55000,54800,55300,58400,61000,65100,64500,66800,67200,73500,75900,83400,91200,96900,100000,104000,107000,114000,116000,142000,141000,158000,166000,160000,153000,170000,164000,171000,188000,178000,165000,134000,138000,145000,148000,145000,153000,147000,163000,158000,165000,162000,165000,165000,179000,186000,178000,178000,174000,174000,177000,182000,182000,185000,181000,180000,177000,177000,172000,183000,174000,170000,173000,167000
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,506,656,737,829,928,1060,1130,1180,1240,1360,1310,1420,1490,1500,1540,1610,1620,1770,1880,2020,2180,2440,2740,3040,3170,3440,3540,3870,4090,4150,4270,4910,4610,4870,4220,5090,4940,5040,4620,4550,4130,3560,3500,3560,3840,3990,4090,4280,4500,4720,4900,4870,4240,3540,3550,3990,4150,4180,4390,4250,4470,4760,5010,5100,5380,5470,5630,5540,5460,5510,5610,8580,8180,9330,8560,9080,9400,9680,10300,10200,10300,11500,11800,11200,12200,13100,13700,14000,13600,13500,14300,14200,15100,16200,18200,18800,18300,19200,20300,18000,16500,17500,16500,18200,18000,19300,21800,22900,24100,25400,25400,23500,24100,25100,26700,26700,27100,28600,31000,30000,32600,33000,34400,33200,34100,34600,34100,33400,33600,34200,32400,31800,31500,34200,33500,34700
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.67,7.33,3.67,7.33,7.33,7.33,191,202,275,286,315,392,378,418,601,480,532,561,660,843,950,781,961,1080,1230,1290,1400,1510,1610,1830,1950,1930,2230,2840,2630,1710,2030,2140,2120,2000,1850,1990,2260,2440,2250,1480,2550,2010,2390,2300,2540,2780,2870,3140,3420,3630,3760,3960,4040,4410,4430,4320,4470,4610,4420,4500,4540,4880,4620,4550,4860
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,22,29.3,55,66,88,95.3,91.7,136,132,161,191,216,231,253,330,290,334,334,367,418,480,572,686,748,964,994,997,902,1000,990,1040,733,722,700,781,774,810,902,909,957,953,697,656,700,759,814,715,693,722,810,968,1170,1330,1870,1940,2130
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,66,224,400,370,488,572,304,473,543,645,876,968,968,931,939,884,678,634,700,697,788,979,975,821,836,990,1240,1360,1660,1380,1640,1560,1640,1490,2260,1690,2180,2440,2570,2700,3010,3190,3730,3570,3410,4110,4180,5350,7280,11800,12900,12800,6630,12100,21500,32300,41400,49600,62300,47400,55200,50600,48300,70300,68200,66000,65600,59900,69600,69900,73500,59300,70700,42400,39200,42300,46600,45100,35200,35800,39700,42300,37900,40300,76100,85700,93700,102000,104000,106000,98900,95100,96100,76700,91500,95700,98500,98100,96300
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,73.3,73.3,1400,1780,781,997,891,1740,4790,7350,8970,11300,15700,19900,23800,26500,30700,32900,35700,44300,47600,52400,59300,64100,73600,108000,89600,97400,102000,108000,110000,114000,108000,111000,114000,115000,117000,126000,135000,145000,158000,176000,202000,215000,124000,119000,105000,96500,88400,82900,73300,65800,59100,64500,69700,72200,69200,70800,72400,75600,76900,64200,71100,70700,66500,48000,49100,36000,40500
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.33,3.67,,,,14.7,18.3,25.7,51.3,40.3,44,58.7,73.3,62.3,66,99,99,103,132,106,139,150,150,165,235,257,304,304,268,326,334,429,370,363,480,473,521,620,634,554,631,612,656,660,818,1030,906,1220,1090,1140,1250,1290,1420,1530,1560,1790,1750,1680,1950,2220,2080,2420,2470,2460,2910,3060,3130,3390,3390,4050,4160,3900,4250,4240,4160,4150,4230,4790,5720,5770,5940,6080,6880,6920,7720,8460,7900,3500,4460,5300,5310,3380,6490,6800,7730,7600,6370,8540,8460,9530,8730,8090,8650,9190,9490,9790,10500,11800,10500,12500,6520,4820,4630,5450,4880,4020,7080,10600,11000,10400,8440,9490,9700,9790,9890,11400,12000,11400,11200,11800,13100,13400,14100,15000,16200,16400,19600,19300,21100,22200,28000,27200,29400,30500,27700,29700,29300,31100,34800,34200,38100,40300,41100,37500,40500,40700,47100,40700,42500,49400,31500,32100,32000,35100,33900,33400,33400,36100,37800,40700,39700,41900,38000,45200,42600,42400,44300,45100,55700,55300,60100,45200,49900,58200,47600
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,29.3,136,161,235,235,2090,2090,2110,2340,7260,8330,8510,7800,7720,6050,6020,5740,7530,8060,8660,9880,9460,10600,10100,11400,11800,12100,13500,15300,15900,15100,15500,16600,20700,21900,20300,25500,32400,28000,29900,39600,43700,42700,41100,47400,54000,59200,61400,61200
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,656,724,1030,5360,6620,6990,7120,7230,7450,8820,9120,10200,9930,11900,12400,13600,15600,16100,16900,17100,18200,20900,20200,20500,19500,18900,20000,21400,23200,22800,24400,26100,28300,32100,34400,37400,40300,42900,47200,49500,53500,58200,61000,68600,68200,72800,78000,84800,84500,94400,94700,97700,100000,106000,108000,114000,119000,132000,137000,146000,159000,159000,159000,161000,162000,163000,164000,166000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,235,235,235,235,238,238,242,249,253,249,253,253,260,264,260,253,246,253,253,253,257,260
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,884,917,935,968,946,1040,865,1460,1370,1660,1350,1160,1280,2200,2740,2270,2320,2050,2090,2040,2250,2200,2440,2840
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,25.7,517,554,719,715,634,711,634,763,928,994,997,1100,1190,1180,1240,1530,1660,1700,2020,2050,2200,2600,2800,3240,3020,3660,3610,3460,2840,3190,3120,3340,3290,3490,2880,2630,2750,3200,2930,2520,2770,3250,4250,3940,4340,2980,4620,5650,5950,5670,5790,7010,5870,6150,5800,6840,7370,7200,7370,8600,9160,10100,10100,10700,8800
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,62.3,84.3,95.3,95.3,128,128,147,147,161,180,202,198,257,268,304,341,436,502,557,693,825,1270,1350,1590,1530,1570,1580,1680,1800,1830,1930,1950,2010,2050,2130,2060,2340,2200,2040,2140,2060,2050,1990,2180,2060,2190,2580,2860,2450,2670,3210,3490,3950,4490,4390,4310,6120,4800,5090,4760,5330,5080,6190,6320
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,47.7,103,121,183,191,198,213,242,304,304,363,392,411,433,550,513,488,590,521,744,634,715,869,953,840,1030,1160,1460,1330,1490,1390,1370,1420,1500,1550,1660,1890,2160,2240,2160,2130,2530,2870,3430,3960,3750,4200,4500,4500,3690,3820,3900,4070,4090,3830,3990,4140,4450,4560,5100,5320,5280,5430,5700
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,7.33,7.33,7.33,11,47.7,66,47.7,40.3,40.3,40.3,40.3,88,161,246,238,99,213,279,352,429,799,1210,1510,1330,1510,1460,1570,1540,1890,1970,2010,1950,1980,2150,2450,2960,2980,3620,4790,4740,4690,5380,7090,5630,4500,4110,6670,6750,7170,7410,8810,8010,5860,5300,5250,6050,6580,6460,6270,5770,5910,6390,6640,4550,4780,5190,5520,6240,6130,6320,6680,7380,7220,8170,8640,9970,10200,12300,12000,13300,13700,14500,15300,17800,18600,18200,19800,21400,22000,22400,23300,22500,22300,24100,24100,23700,20500,20700,19500,21800,25800,25100,21800,21100,20300,20400,23600,23300,23900,24400,27500,27800,29400,30300,27200,27200,26400,31900,37100,34900,43000,41000,51700,57600,49600,55100,57200,61700
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,18.3,55,51.3,36.7,3.67,7.33,18.3,55,51.3,11,29.3,58.7,103,69.7,77,77,84.3,84.3,51.3,40.3,80.7,69.7,88,80.7,88,77,88,99,121,121,158,84.3,114,91.7,,,,14.7,114,198,216,319,3610,3560,4060,4040,5340,6620,6260,6740,7570,7230,8340,8720,10300,11500,12800,14000,16100,18200,22300,22900,24800,27600,26400,31500,30500,32500,35100,36800,37500,38100,37000,34700,35000,35400,31000,28000,29200,32700,37700,39100,41800,43900,48800,49500,54800,60700,62200,71200,69200,69200,73300,71100,71300,71400,74100,74800,67700,72200,78900,77600,84900,85500,91200,98100,106000
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,444,451,462,458,572,521,378,502,473,568,590,455,381,502,590,678,744,924,759,748,829,909,1220,1280,1330,1220,1310,1210,1070,990,810,1030,1070,1130,1210,1370,1470,1590,1680,1970,2140,2280,2250,2390,2790,2950,3030,3050,3010,3200,3460,4130,4320,4780,5630,6320,6720,7710,7120,7490,7680,8810,10100,11200,12400,12200,13300,15100,15600,16700,19000,20600,22400,24500,24100,24600,23200,24400,26500,26400,26300,27300,30000,31200,32600,33500,33700,37500,40500,41900,45400,43100,45400,46100,49000,52800,55100,59900,62000,63400,67000,65500,68500,69400,74900,78800,87300,93100,95600,94600,99700,111000,116000,97100,94800,109000,121000,102000,2730,76400,75000,71800,52600,47900,48100,48200,60700,62900,72800,56600,54900,42000,43200,45300,46200,49900,56400,60000,51900,167000,165000,182000,198000,189000,59500,105000,91600,89000,106000,112000,122000,128000,139000,148000,154000,167000,179000,177000,190000,200000,207000,217000,231000,243000,247000,253000,259000,276000,294000,304000,313000,330000,336000,347000,376000,399000,419000,432000,442000,465000,410000,422000,422000,434000,446000,453000,465000,446000,424000,368000,362000,355000,353000,334000,344000,356000,350000,325000,316000,299000,301000,295000,302000,304000,303000,319000,314000,315000,298000,316000,317000,300000,302000,286000
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,36.7,521,726,532,1170,1150,671,642,708,880,891,1090,1140,1200,1110,1230,1270,1370,1570,1680,1740,1690,1510,1780,1700,1730,1820,2080,2150,2470,2390,2620,2520,2580,2520,2900,3160,3150,3200,3250,3150,3660,3860,3380,3090,2990,1660,1100,2160,2100,2150,2960,2680,3030,3120,3140,3630,4000,3970,4330,3920,3390,4000,4100,4380,4130,4940,4120,4760,3900,3780,3030,2940,3250,3340,3890,5550,5260,5530,5630,5400,5360,5940,5800,6470,7170,7790,7570,7990,8230,9090,9300,10000,11000,11600,11900,12400,13000,14600,15300,16400,18300,20000,20700,21400,22400,22700,22700,25000,27000,27200,29300,30200,29100,27400,30500,31500,32900,41200,42300,44000,48300,46900,47700,51900,50600,53100,57800,64400,62700,62800,66800,61200,63100,65300,59800,60100,55600,54200,48100,47600,46000,45400,45100
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,352,389,194,367,609,418,506,312,169,183,176,161,191,6140,6270,6290,6280,6690,7080,7170,7570,9150,10800,12500,10500,11000,10400,9930,10500,14400,13100,12900,12400,11300,12300,12400,13300,11500,11900,14300,11800,17700,26800,30700,30200,31800,32300,37500,32400,31400,34700,41400,40900,41500,42900,51000,63500,63300,64800,69200,72500,80400,94100,85000,108000
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,7.33,11,11,14.7,14.7,18.3,22,25.7,25.7,36.7,40.3,40.3,44,44,47.7,47.7,47.7,47.7,47.7,47.7,51.3,224,407,473,451,484,528,631,645,807,1120,1050,1140,1040,1080,1120,1300,1710,1610,1240,1600,1590,1850,2190,2660,3600,4560,4390,4860,4820,5780,6020,7000,5790,5150,3000,2520,3190,4670,5490,5920,7150,8480,10000,11700,14500,16100,18300,20500,23300,25900,27400,27300,31700,31600,33200,28500,26700,25200,24000,22600,23700,22100,15100,18900,17500,16400,23400,23100,19400,22500,26700,30700,33500,36800,40800,46000,49800,50700,53500,55800,63900,69500,72100,78700,84200,92100,100000,112000,120000,126000,132000,145000,151000,162000,175000,178000,194000,196000,197000,198000,196000,201000,189000,194000,202000,212000,213000,214000,174000,140000,129000,125000,119000,126000,125000,113000,99800,89700,90700,96600,97200,101000,96900,96500,103000,102000,96400,81600,79400,84900,81700,70900,70000
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,13.7,9.12,11.4,,,,,,,,,,,,,,,,,70.7,,,,,214,,,301,319,422,536,483,506,568,543,1710,1970,1640,2220,2410,3250,3340,3140,3810,4380,5440,5550,7250,7440,8730,9200,9690,11000,11200,12200,12500,13200,13800,14900,16900,18600,19700,23100,23500,27000,27500,31800,35600,41300,46800,48100,46400,45400,50500,45100,51400,57600,58000,61200,60000,62200,70500,76600,69100,63400,67600,62200,24800,21200,19300,21000,25600,28200,33600,33200,48100,59800,66400,71600,97300,117000,132000,147000,178000,201000,231000,236000,249000,252000,303000,266000,183000,234000,219000,232000,260000,313000,333000,379000,423000,458000,490000,519000,567000,643000,704000,771000,823000,865000,901000,929000,975000,1050000,1110000,1180000,1250000,1300000,1340000,1390000,1470000,1560000,1640000,1710000,1770000,1860000,1940000,2000000,2070000,2090000,2170000,2130000,2170000,2200000,2220000,2400000,2400000,2500000,2570000,2520000,2360000,2280000,2080000,1940000,1700000,1630000,1610000,1530000,1500000,1530000,1560000,1560000,1560000,1600000,1600000,1620000,1670000,1670000,1710000,1570000,1670000,1760000,1830000,1780000,1710000
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,84.3,36.7,47.7,44,40.3,55,58.7,58.7,62.3,66,69.7,73.3,176,268,268,290,297,495,601,609,697,634,616,598,616,697,689,543,488,488,495,473,462,480,499,488,510,528,532,532,521,528,528,528,557,543,576,590,664,737,803,840
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,7.33,11,11,11,14.7,11,14.7,14.7,18.3,18.3,22,25.7,29.3,25.7,25.7,29.3,29.3,29.3,36.7,36.7,36.7,33,58.7,47.7,80.7,106,95.3,99,103,114,114,114,114,114,114,114,121,103,106,110,110,114,117,125,128,132,136,143,147,147,154,150,161,165,172,180,187,187,202,198,198,198
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,7.33,11,7.33,7.33,11,11,11,7.33,11,11,11,11,14.7,14.7,14.7,11,11,14.7,18.3,18.3,29.3,29.3,33,33,40.3,44,47.7,55,51.3,55,51.3,51.3,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,51.3,58.7,66,73.3,77,84.3,84.3,84.3,91.7,99,103,114,114,114
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,25.7,205,1650,2150,1810,1900,1990,3260,8820,25200,37800,18000,18400,5140,,,477,1240,2120,1630,2100,3360,1860,2680,3570,6260,6950,7050,4220,6410,25500,29100,35300,45300,59800,70300,95100,98800,83300,102000,118000,115000,138000,169000,175000,158000,161000,156000,173000,205000,191000,203000,204000,186000,268000,286000,314000,308000,235000,259000,216000,208000,226000,297000,297000,326000,327000,396000,398000,433000,388000,430000,469000,518000,500000,565000,541000,601000
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,389,829,814,814,862,924,1690,1720,700,,491,1310,1350,1460,1550,1850,2580,1770,2240,2630,2900,3350,3300,3050,2630,3310,2680,2660,2450,2740,3700,3180,3420,3480,3590,3900,3490,3740,3260,3430,3700,3940,4330,4510,4980,5230,5810,4730,5180,5090,4580,7740,8370,7910,8420,8860
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43400,37800,36800,38900,45500,48900,51500,35500,39400,42400,45300,48400,52900,50100,54000,52500,52100,46200,46000,49200,44100,44900,37700
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,7.33,7.33,7.33,7.33,7.33,29.3,33,44,47.7,55,58.7,80.7,84.3,77,121,95.3,99,84.3,99,99,150,165,202,198,235,150,172,172,183,202,198,235,341,433,510,572,634,539,550,737,689,733,642,693,524,444,341,440,403,495
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,95.3,180,169,125,183,180,389,209,235,715,290,326,370,304,282,301,253,385,1110,873,803,678,539,521,524,451,513,711,678,609,693,554,689,616,664,675,499,458,374,488,546,447,447,513,400,473,444,414,367,425,568,609,653,642,546,733,642,664,653,726,898,1030,1190,1310
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,2300,1800,1390,2090,2580,3400,3700,2530,675,3060,5420,7210,18200,16600,22200,21200,22000,24500,30000,28300,33200,36100,31400,26800,29800,35000,33400,33400,35000,32600,36100,41900,44500,45300,48400,51200,61700,42200,49700,58400,48600,50100,49000,49500,47200,31100,28500,30400,30800,19900,36100,55900,55600,45200,36400,55700,56400
